         買超概算   區間漲幅       代號            分類
15  -1.399883   2.76  臻鼎-KY-◎   電子上游-PCB-製造
16   8.176508   4.33     信驊-●    電子上游-IC-設計
17   1.290590  30.38      美而快         軟體-其他
18   3.969015   1.29       創惟    電子上游-IC-設計
19   7.981448   1.57     瑞儀-◎  電子中游-LCD-零組件
20   1.899356  15.26       佳邦  電子中游-變壓器與UPS
21   5.281455   4.23     樺漢-◎     電子下游-工業電腦
22  -1.194385  39.57    訊芯-KY    電子上游-IC-封測
23   0.183695   0.99      長科*  電子上游-LED及光元件
24  16.889132  10.50       矽創    電子上游-IC-設計
25  11.196862   3.60     南電-●   電子上游-PCB-製造
26  19.264233   1.71     群聯-●    電子上游-IC-設計
27  -0.130821  -7.25    紅木-KY         傳產-其他
28   0.215976   2.75    威宏-KY         傳產-其他
29   7.112749   4.88    鈺齊-KY         傳產-其他
         買超概算       代號            分類  node1
0    2.830813       力山         傳產-電機     很強
1    3.331373      堤維西      傳產-汽車零組件     很強
2   -3.352870       美時         傳產-生技   緩緩下跌
3    0.505527       廷鑫      電子下游-顯示器   緩緩上漲
4    8.449581     漢唐-◎   電子中游-儀器設備工程   緩緩上漲
5    5.518017       聯陽    電子上游-IC-設計  上漲ing
6   13.565438     智原-◎    電子上游-IC-設計   緩緩下跌
7    0.428941       精確        傳產-自行車   緩緩上漲
8    8.560166     威剛-◎   電子上游-DRAM銷售   緩緩上漲
9   10.296497     欣銓-◎    電子上游-IC-封測   緩緩上漲
10   6.631986       智易       電子中游-網通   緩緩上漲
11   0.010515   太景*-KY         傳產-生技   緩緩上漲
12  -0.136831    冠星-KY       傳產-紡織纖維   緩緩下跌
13   0.146047    力達-KY         傳產-電機   緩緩上漲
14   8.844555       致伸     電子下游-手機製造   緩緩上漲
15  -1.399883  臻鼎-KY-◎   電子上游-PCB-製造   緩緩上漲
16   8.176508     信驊-●    電子上游-IC-設計   緩緩上漲
17   1.290590      美而快         軟體-其他     很強
18   3.969015       創惟    電子上游-IC-設計   緩緩上漲
19   7.981448     瑞儀-◎  電子中游-LCD-零組件   緩緩上漲
20   1.899356       佳邦  電子中游-變壓器與UPS  上漲ing
21   5.281455     樺漢-◎     電子下游-工業電腦   緩緩上漲
22  -1.194385    訊芯-KY    電子上游-IC-封測     很強
23   0.183695      長科*  電子上游-LED及光元件   緩緩上漲
24  16.889132       矽創    電子上游-IC-設計  上漲ing
25  11.196862     南電-●   電子上游-PCB-製造   緩緩上漲
26  19.264233     群聯-●    電子上游-IC-設計   緩緩上漲
27  -0.130821    紅木-KY         傳產-其他   緩緩下跌
28   0.215976    威宏-KY         傳產-其他   緩緩上漲
29   7.112749    鈺齊-KY         傳產-其他   緩緩上漲
              分類  node1    node2     node3
0          傳產-電機     很強       力山   2.83(億)
1       傳產-汽車零組件     很強      堤維西   3.33(億)
2          傳產-生技   緩緩下跌       美時  -3.35(億)
3       電子下游-顯示器   緩緩上漲       廷鑫   0.51(億)
4    電子中游-儀器設備工程   緩緩上漲     漢唐-◎   8.45(億)
5     電子上游-IC-設計  上漲ing       聯陽   5.52(億)
6     電子上游-IC-設計   緩緩下跌     智原-◎  13.57(億)
7         傳產-自行車   緩緩上漲       精確   0.43(億)
8    電子上游-DRAM銷售   緩緩上漲     威剛-◎   8.56(億)
9     電子上游-IC-封測   緩緩上漲     欣銓-◎   10.3(億)
10       電子中游-網通   緩緩上漲       智易   6.63(億)
11         傳產-生技   緩緩上漲   太景*-KY   0.01(億)
12       傳產-紡織纖維   緩緩下跌    冠星-KY  -0.14(億)
13         傳產-電機   緩緩上漲    力達-KY   0.15(億)
14     電子下游-手機製造   緩緩上漲       致伸   8.84(億)
15   電子上游-PCB-製造   緩緩上漲  臻鼎-KY-◎   -1.4(億)
16    電子上游-IC-設計   緩緩上漲     信驊-●   8.18(億)
17         軟體-其他     很強      美而快   1.29(億)
18    電子上游-IC-設計   緩緩上漲       創惟   3.97(億)
19  電子中游-LCD-零組件   緩緩上漲     瑞儀-◎   7.98(億)
20  電子中游-變壓器與UPS  上漲ing       佳邦    1.9(億)
21     電子下游-工業電腦   緩緩上漲     樺漢-◎   5.28(億)
22    電子上游-IC-封測     很強    訊芯-KY  -1.19(億)
23  電子上游-LED及光元件   緩緩上漲      長科*   0.18(億)
24    電子上游-IC-設計  上漲ing       矽創  16.89(億)
25   電子上游-PCB-製造   緩緩上漲     南電-●   11.2(億)
26    電子上游-IC-設計   緩緩上漲     群聯-●  19.26(億)
27         傳產-其他   緩緩下跌    紅木-KY  -0.13(億)
28         傳產-其他   緩緩上漲    威宏-KY   0.22(億)
29         傳產-其他   緩緩上漲    鈺齊-KY   7.11(億)
    node1    node2     node3         node4
0      很強       力山   2.83(億)         傳產-電機
1      很強      堤維西   3.33(億)      傳產-汽車零組件
2    緩緩下跌       美時  -3.35(億)         傳產-生技
3    緩緩上漲       廷鑫   0.51(億)      電子下游-顯示器
4    緩緩上漲     漢唐-◎   8.45(億)   電子中游-儀器設備工程
5   上漲ing       聯陽   5.52(億)    電子上游-IC-設計
6    緩緩下跌     智原-◎  13.57(億)    電子上游-IC-設計
7    緩緩上漲       精確   0.43(億)        傳產-自行車
8    緩緩上漲     威剛-◎   8.56(億)   電子上游-DRAM銷售
9    緩緩上漲     欣銓-◎   10.3(億)    電子上游-IC-封測
10   緩緩上漲       智易   6.63(億)       電子中游-網通
11   緩緩上漲   太景*-KY   0.01(億)         傳產-生技
12   緩緩下跌    冠星-KY  -0.14(億)       傳產-紡織纖維
13   緩緩上漲    力達-KY   0.15(億)         傳產-電機
14   緩緩上漲       致伸   8.84(億)     電子下游-手機製造
15   緩緩上漲  臻鼎-KY-◎   -1.4(億)   電子上游-PCB-製造
16   緩緩上漲     信驊-●   8.18(億)    電子上游-IC-設計
17     很強      美而快   1.29(億)         軟體-其他
18   緩緩上漲       創惟   3.97(億)    電子上游-IC-設計
19   緩緩上漲     瑞儀-◎   7.98(億)  電子中游-LCD-零組件
20  上漲ing       佳邦    1.9(億)  電子中游-變壓器與UPS
21   緩緩上漲     樺漢-◎   5.28(億)     電子下游-工業電腦
22     很強    訊芯-KY  -1.19(億)    電子上游-IC-封測
23   緩緩上漲      長科*   0.18(億)  電子上游-LED及光元件
24  上漲ing       矽創  16.89(億)    電子上游-IC-設計
25   緩緩上漲     南電-●   11.2(億)   電子上游-PCB-製造
26   緩緩上漲     群聯-●  19.26(億)    電子上游-IC-設計
27   緩緩下跌    紅木-KY  -0.13(億)         傳產-其他
28   緩緩上漲    威宏-KY   0.22(億)         傳產-其他
29   緩緩上漲    鈺齊-KY   7.11(億)         傳產-其他
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['很強', '力山'], ['很強', '堤維西'], ['緩緩下跌', '美時'], ['緩緩上漲', '廷鑫'], ['緩緩上漲', '漢唐-◎'], ['上漲ing', '聯陽'], ['緩緩下跌', '智原-◎'], ['緩緩上漲', '精確'], ['緩緩上漲', '威剛-◎'], ['緩緩上漲', '欣銓-◎'], ['緩緩上漲', '智易'], ['緩緩上漲', '太景*-KY'], ['緩緩下跌', '冠星-KY'], ['緩緩上漲', '力達-KY'], ['緩緩上漲', '致伸'], ['緩緩上漲', '臻鼎-KY-◎'], ['緩緩上漲', '信驊-●'], ['很強', '美而快'], ['緩緩上漲', '創惟'], ['緩緩上漲', '瑞儀-◎'], ['上漲ing', '佳邦'], ['緩緩上漲', '樺漢-◎'], ['很強', '訊芯-KY'], ['緩緩上漲', '長科*'], ['上漲ing', '矽創'], ['緩緩上漲', '南電-●'], ['緩緩上漲', '群聯-●'], ['緩緩下跌', '紅木-KY'], ['緩緩上漲', '威宏-KY'], ['緩緩上漲', '鈺齊-KY'], ['力山', '2.83(億)'], ['堤維西', '3.33(億)'], ['美時', '-3.35(億)'], ['廷鑫', '0.51(億)'], ['漢唐-◎', '8.45(億)'], ['聯陽', '5.52(億)'], ['智原-◎', '13.57(億)'], ['精確', '0.43(億)'], ['威剛-◎', '8.56(億)'], ['欣銓-◎', '10.3(億)'], ['智易', '6.63(億)'], ['太景*-KY', '0.01(億)'], ['冠星-KY', '-0.14(億)'], ['力達-KY', '0.15(億)'], ['致伸', '8.84(億)'], ['臻鼎-KY-◎', '-1.4(億)'], ['信驊-●', '8.18(億)'], ['美而快', '1.29(億)'], ['創惟', '3.97(億)'], ['瑞儀-◎', '7.98(億)'], ['佳邦', '1.9(億)'], ['樺漢-◎', '5.28(億)'], ['訊芯-KY', '-1.19(億)'], ['長科*', '0.18(億)'], ['矽創', '16.89(億)'], ['南電-●', '11.2(億)'], ['群聯-●', '19.26(億)'], ['紅木-KY', '-0.13(億)'], ['威宏-KY', '0.22(億)'], ['鈺齊-KY', '7.11(億)']]
          買超概算   區間漲幅      代號             分類
0     2.977624   5.33      卜蜂          傳產-食品
1     2.434531   8.83      力山          傳產-電機
2     8.482416  24.93     堤維西       傳產-汽車零組件
3     1.194779   1.98      合機        傳產-電線電纜
4     1.754535   9.77      劍麟       傳產-汽車零組件
5     1.852566  10.57      精元  電子中游-NB與手機零組件
6     6.349042  -0.21    漢唐-◎    電子中游-儀器設備工程
7   135.600445   9.52   聯發科-●     電子上游-IC-設計
8     6.510184  13.42    裕民-◎          傳產-航運
9     7.343942   6.27   晶豪科-◎     電子上游-IC-設計
10   10.401925  12.97      聯陽     電子上游-IC-設計
11    4.304003  10.86      偉訓        電子中游-機殼
12   46.534281   4.43    聯詠-●     電子上游-IC-設計
13    5.930761  14.30     波若威      電子中游-通訊設備
14    7.786537   3.16    威剛-◎    電子上游-DRAM銷售
15    8.201768   2.59    欣銓-◎     電子上游-IC-封測
16    1.851127   9.52     台星科     電子上游-IC-封測
17    1.134464   4.68      旭品        電子中游-機殼
18   12.007323  20.05    力旺-●     電子上游-IC-設計
19    0.525088  11.67     新鉅科      電子中游-光學鏡片
20    0.151508   0.34  太景*-KY          傳產-生技
21    7.311072   6.48      致伸      電子下游-手機製造
22   11.626610  18.16   譜瑞-KY     電子上游-IC-設計
23   10.428979   8.03    信驊-●     電子上游-IC-設計
24    5.001668  14.92      宜鼎    電子上游-DRAM銷售
25    2.516637  32.84     美而快          軟體-其他
26    2.633241   2.60      創惟     電子上游-IC-設計
27    8.299151   3.20    瑞儀-◎   電子中游-LCD-零組件
28    2.440525  11.61      佳邦   電子中游-變壓器與UPS
29   13.500003   3.52    啟碁-◎      電子中游-通訊設備
30    1.988991  11.69      點序     電子上游-IC-設計
31   10.656394  14.13     愛普*     電子上游-IC-設計
32    0.242736   2.77     長科*   電子上游-LED及光元件
33    0.665748  10.06      台通        電子中游-網通
34   11.615320   0.51      矽創     電子上游-IC-設計
35   26.283681   8.57    南電-●    電子上游-PCB-製造
36    4.044583  12.50      致新     電子上游-IC-設計
37    5.848858   7.51      至上     電子上游-IC-通路
38    1.964074  10.84      博智    電子上游-PCB-製造
39   11.164108   6.09      勤誠        電子中游-機殼
40   11.710676   6.12    群聯-●     電子上游-IC-設計
41   -0.049672  -7.99   紅木-KY          傳產-其他
42    4.423989  -0.66   鈺齊-KY          傳產-其他
          買超概算      代號             分類  node1
0     2.977624      卜蜂          傳產-食品   緩緩上漲
1     2.434531      力山          傳產-電機   緩緩上漲
2     8.482416     堤維西       傳產-汽車零組件     很強
3     1.194779      合機        傳產-電線電纜   緩緩上漲
4     1.754535      劍麟       傳產-汽車零組件   緩緩上漲
5     1.852566      精元  電子中游-NB與手機零組件  上漲ing
6     6.349042    漢唐-◎    電子中游-儀器設備工程   緩緩下跌
7   135.600445   聯發科-●     電子上游-IC-設計   緩緩上漲
8     6.510184    裕民-◎          傳產-航運  上漲ing
9     7.343942   晶豪科-◎     電子上游-IC-設計   緩緩上漲
10   10.401925      聯陽     電子上游-IC-設計  上漲ing
11    4.304003      偉訓        電子中游-機殼  上漲ing
12   46.534281    聯詠-●     電子上游-IC-設計   緩緩上漲
13    5.930761     波若威      電子中游-通訊設備  上漲ing
14    7.786537    威剛-◎    電子上游-DRAM銷售   緩緩上漲
15    8.201768    欣銓-◎     電子上游-IC-封測   緩緩上漲
16    1.851127     台星科     電子上游-IC-封測   緩緩上漲
17    1.134464      旭品        電子中游-機殼   緩緩上漲
18   12.007323    力旺-●     電子上游-IC-設計     很強
19    0.525088     新鉅科      電子中游-光學鏡片  上漲ing
20    0.151508  太景*-KY          傳產-生技   緩緩上漲
21    7.311072      致伸      電子下游-手機製造   緩緩上漲
22   11.626610   譜瑞-KY     電子上游-IC-設計  上漲ing
23   10.428979    信驊-●     電子上游-IC-設計   緩緩上漲
24    5.001668      宜鼎    電子上游-DRAM銷售  上漲ing
25    2.516637     美而快          軟體-其他     很強
26    2.633241      創惟     電子上游-IC-設計   緩緩上漲
27    8.299151    瑞儀-◎   電子中游-LCD-零組件   緩緩上漲
28    2.440525      佳邦   電子中游-變壓器與UPS  上漲ing
29   13.500003    啟碁-◎      電子中游-通訊設備   緩緩上漲
30    1.988991      點序     電子上游-IC-設計  上漲ing
31   10.656394     愛普*     電子上游-IC-設計  上漲ing
32    0.242736     長科*   電子上游-LED及光元件   緩緩上漲
33    0.665748      台通        電子中游-網通  上漲ing
34   11.615320      矽創     電子上游-IC-設計   緩緩上漲
35   26.283681    南電-●    電子上游-PCB-製造   緩緩上漲
36    4.044583      致新     電子上游-IC-設計  上漲ing
37    5.848858      至上     電子上游-IC-通路   緩緩上漲
38    1.964074      博智    電子上游-PCB-製造  上漲ing
39   11.164108      勤誠        電子中游-機殼   緩緩上漲
40   11.710676    群聯-●     電子上游-IC-設計   緩緩上漲
41   -0.049672   紅木-KY          傳產-其他   緩緩下跌
42    4.423989   鈺齊-KY          傳產-其他   緩緩下跌
               分類  node1   node2     node3
0           傳產-食品   緩緩上漲      卜蜂   2.98(億)
1           傳產-電機   緩緩上漲      力山   2.43(億)
2        傳產-汽車零組件     很強     堤維西   8.48(億)
3         傳產-電線電纜   緩緩上漲      合機   1.19(億)
4        傳產-汽車零組件   緩緩上漲      劍麟   1.75(億)
5   電子中游-NB與手機零組件  上漲ing      精元   1.85(億)
6     電子中游-儀器設備工程   緩緩下跌    漢唐-◎   6.35(億)
7      電子上游-IC-設計   緩緩上漲   聯發科-●  135.6(億)
8           傳產-航運  上漲ing    裕民-◎   6.51(億)
9      電子上游-IC-設計   緩緩上漲   晶豪科-◎   7.34(億)
10     電子上游-IC-設計  上漲ing      聯陽   10.4(億)
11        電子中游-機殼  上漲ing      偉訓    4.3(億)
12     電子上游-IC-設計   緩緩上漲    聯詠-●  46.53(億)
13      電子中游-通訊設備  上漲ing     波若威   5.93(億)
14    電子上游-DRAM銷售   緩緩上漲    威剛-◎   7.79(億)
